Test Case ID	Test Objective			Mục tiêu	Dữ liệu đầu vào	Kết quả mong muốn	Kết quả thực tế	Người thực hiện
	Tên file	Tên hàm	API					
PM_AM_001	AuthenticationController	authentiacateUser()	POST + /api/auth/signin	Kiểm tra đăng nhập thành công	"username = ""admin""
password = ""admin"""	"- Trạng thái 200
- Trả về JWT và thông tin user 
- Lưu thông tin và token vào môi trường"	Pass	Đỗ Gia Phong
PM_AM_002	AuthenticationController	authentiacateUser()	POST + /api/auth/signin	Kiểm tra đăng nhập khi user không tồn tại	"""username"": ""user_khong_ton_tai_xyz""
  ""password"": ""anypass"""	- Trả về mã lỗi 400 	Pass	Đỗ Gia Phong
PM_AM_003	AuthenticationController	authentiacateUser()	POST + /api/auth/signin	Kiểm tra đăng nhập khi sai mật khẩu	"""username"": ""admin"",
  ""password"": ""MATKHAUSAI999"""	- Trả về mã 401	Pass	Đỗ Gia Phong
PM_AM_004	AuthenticationController	authentiacateUser()	POST + /api/auth/signin	Kiểm tra đăng nhập khi tài khoản bị xóa mềm	"""username"": ""lecture-01"",
  ""password"": ""lecture-01"""	- Trả về mã lỗi 400	Pass	Đỗ Gia Phong
PM_AM_005	AuthenticationController	resetPasswordRequest()	POST + /api/auth/password-reset-request	Kiểm tra thực hiện yêu cầu reset password thành công	email = "newuser_autotest@example.com"	"- trả về mã 200
- Thông tin operationResult gồm : 
 + operation name = REQUEST_PASSWORD_RESET
 + operationResult = SUCCESS"	Fail	Đỗ Gia Phong
PM_AM_006	AuthenticationController	resetPasswordRequest()	POST + /api/auth/password-reset-request	Kiểm tra thực hiện yêu cầu reset password khi email không tồn tại	"email": "email_khong_ton_tai_xyz@test.com"	"- Trả về mã thực hiện 200
- Thông tin operationResult gồm : 
 + operation name = REQUEST_PASSWORD_RESET
 + operationResult = ERROR"	Pass	Đỗ Gia Phong
PM_AM_007	AuthenticationController	resetPassword()	POST + /api/auth/password-reset	Kiểm tra thực hiện reset password thành công	"token = ""token""
password = ""newpassword123"""	"- Trả về mã 400
- Thông tin operationResult gồm : 
 + operation name = PASSWORD_RESET
 + operationResult = SUCCESS
"	Fail	Đỗ Gia Phong
PM_AM_008	AuthenticationController	resetPassword()	POST + /api/auth/password-reset	Kiểm tra reset password khi token không hợp lệ	"""token"": ""token_gia_khong_hop_le_xyz123"",
  ""password"": ""newpassword123"""	"- Trả về mã 401
- Thông tin operationResult gồm : 
 + operation name = PASSWORD_RESET
 + operationResult = ERROR
"	Fail	Đỗ Gia Phong
PM_AM_009	UserController	getUser()	GET + /api/users/profile	Kiểm tra lấy thông tin user thành công	username = "admin"	"- Trả về mã thực hiện 200
- Thông tin user được tìm kiếm"	Pass	Đỗ Gia Phong
